??  Dicionário Santome/Português — Araujo & Hagemeijer (2013)  ·  Extraído automaticamente,,,,,,,,
"Fonte: Dicionário livre Santome/Português · Gabriel Antunes de Araujo (USP/CNPq) & Tjerk Hagemeijer (U. Lisboa) · Hedra, 2013 · ~8500 entradas",,,,,,,,
Palavra Santome,Fonética,Categoria,Variante,Tradução PT,Frase (Santome),Frase (Português),Fonte,URL Áudio
môlê,[mo?le],Verbo,Forro (Santome),Morrer. mpêlu[mpe?lu](n.)Peru.,,,Araujo & Hagemeijer (2013),
molextya,[m??l??tja],Substantivo,Forro (Santome),Doença. 2.Moléstia. mpenampena[mp??n?p? ??na](id.) Cf. blagampe-,,,Araujo & Hagemeijer (2013),
molextyadu,[m?l???tjadu],Adjetivo,Forro (Santome),Doente. 2.Moles- nampena.,,,Araujo & Hagemeijer (2013),
tado. mpenhu,[?mp??? u],Substantivo,Forro (Santome),Capricho. 2.Determinação.,,,Araujo & Hagemeijer (2013),
moli,[?m?li],Adjetivo,Forro (Santome),Mole. 3.Empenho.,,,Araujo & Hagemeijer (2013),
molimogomogo,[?m?lim??g?m??g?],Expressão,Forro (Santome),Molíssi- mpênumpênu[mpe?n?pe?nu](n.)1.Cílios. 2.Pesta-,,,Araujo & Hagemeijer (2013),
molimoli,[m?li?m?li],Advérbio,Forro (Santome),Devagar. mplega[?mpl?ga](n.)1.Prega. 2.Ruga.,,,Araujo & Hagemeijer (2013),
môlô,[?molo],Ideofone,Forro (Santome),Cf.zedonmôlô. mpon[?mpõ](n.)Pão.,,,Araujo & Hagemeijer (2013),
môlôkentxi,[?molo?k?t?i],Substantivo,Forro (Santome),Abcesso. 2.Sífilis. mpyala[?mpjala](n.)Mpyala.Olyralatifolia.,,,Araujo & Hagemeijer (2013),
mo-modu,[m??m?du],Advérbio,Forro (Santome),Dequalquermaneira. 3.Espinho.4.Pinha.,,,Araujo & Hagemeijer (2013),
momoli,[m??m?li],Advérbio,Forro (Santome),Devagar.Cf.molimoli. nantherapungens.,,,Araujo & Hagemeijer (2013),
mon,[?mõ],Substantivo,Forro (Santome),Braço. 2.Mão.3.Vez. mpyan-kana[?mpj??ka?na](n.)Acne.,,,Araujo & Hagemeijer (2013),
mpyon,[?mpjõ],Substantivo,Forro (Santome),Destro. 2.Perigoso. 3.Pião. musanfi[mu?s?fi? ](n.) Musanfi. Cleomerutidosper-,,,Araujo & Hagemeijer (2013),
mu,[?mu],Pronome pessoal,Forro (Santome),-me. Primeirapessoadosingular musinika[musi?nika](n.) Ameixoeira-africana. Pru-,,,Araujo & Hagemeijer (2013),
nhas. muswa,[?muswa],Substantivo,Forro (Santome),Azeda-da-Guiné.Hibiscusace-,,,Araujo & Hagemeijer (2013),
muda,[mu?da],Verbo,Forro (Santome),Mudar. tosella.,,,Araujo & Hagemeijer (2013),
mufa,[mu?fa],Verbo,Forro (Santome),Mofar. muswa[mu?swa](n.)Armadilhafeitadefibradefolha,,,Araujo & Hagemeijer (2013),
mufada,[mu?fada],Substantivo,Forro (Santome),Almofada.Cf.munfada. dapalmeirautilizadanacapturadocamarão.,,,Araujo & Hagemeijer (2013),
mufinu,[mu?finu],Adjetivo,Forro (Santome),"Avaro. 2.Sovina. Cf. muta[?muta](n.)Muta.Mezinha,preparadacomuri-",Sovina,Cf.,Araujo & Hagemeijer (2013),
mufuku,[mufu?ku],Ideofone,Forro (Santome),"Cf.pemamufuku. 2.Cf. nais,sobretudoparaevitaromau-olhado.",,,Araujo & Hagemeijer (2013),
plêjidamufuku. mutambu,[mut???bu],Substantivo,Forro (Santome),Arapuca.,,,Araujo & Hagemeijer (2013),
mukamba,[muk???ba],Substantivo,Forro (Santome),Espíritoprotetordosvinha- mutendê[mut??de](n.)Palmeirajovem.,,,Araujo & Hagemeijer (2013),
mukamba-vlêmê,[muk???ba vle?me],Substantivo,Forro (Santome),Mukamba- Mapaniaferruginea.,,,Araujo & Hagemeijer (2013),
vlêmê.Chlorophoraexcelsa. mutete,[mut??t?],Substantivo,Forro (Santome),Cestodendala. M,,,Araujo & Hagemeijer (2013),
mukumbli,[muk??bli],Substantivo,Forro (Santome),Mukumbli.Lanneawelwits- mutoru[mu?t?ru](n.)Motor.,,,Araujo & Hagemeijer (2013),
muxkitu,[mu??kitu],Substantivo,Forro (Santome),Mosquito.Cf.mixkitu.,,,Araujo & Hagemeijer (2013),
mulata,[mu?lata],Adjetivo,Forro (Santome),Mulata. muxtlada[mu??tlada](n.) Mostarda. Brassicajun-,,,Araujo & Hagemeijer (2013),
mulatu,[mu?latu],Adjetivo,Forro (Santome),Mulato. muzonge[muzõ?g?](n.)Caldodepeixe.,,,Araujo & Hagemeijer (2013),
mulela,[mu?l?la],Substantivo,Forro (Santome),Amoreira. Miliciaexcelsa. mwala-bega[?mwala?b?ga](n.)Grávida.,Amoreira,Miliciaexcelsa.,Araujo & Hagemeijer (2013),
mulu,[?mulu],Substantivo,Forro (Santome),Muro. 2.Parede.3.Piso. te.,,,Araujo & Hagemeijer (2013),
mumu,[?mumu],Adjetivo,Forro (Santome),Mudo. mwala-sendê-mon-sendê-ope[?mwalas??de?m??s??de,,,Araujo & Hagemeijer (2013),
mun,[?m?],Pronome possessivo,Forro (Santome),Cf.mu. ??p?](n.) Mulher-estendeu-mão-estendeu-pé. Paspa-,,,Araujo & Hagemeijer (2013),
mundja,[m??d?a],Verbo,Forro (Santome),Estardepé. 2.Ficardepé. mwandjin[mw????d??](n.)Sucupira.Pentaclettrama-,,,Araujo & Hagemeijer (2013),
munfinu,[m??finu],Adjetivo,Forro (Santome),Avaro. 2.Sovina. mwindlu [mw???dlu] (n.) Mwindlu. Bridelia mi-,,,Araujo & Hagemeijer (2013),
simplex. myamyamya,[mjamja?mja],Ideofone,Forro (Santome),Cf. vlêmê,,,Araujo & Hagemeijer (2013),
munsa,[m??sa],Verbo,Forro (Santome),Mostrar.Cf.musa. myamyamya.,,,Araujo & Hagemeijer (2013),
muntu,[?m?tu],Advérbio,Forro (Santome),Muito. myawa[?mjawa](n.)Anexo.,,,Araujo & Hagemeijer (2013),
musa,[mu?sa],Verbo,Forro (Santome),Mostrar. myêgêmyêgê [mje?gemje?ge] (id.) Cf. luji myê-,,,Araujo & Hagemeijer (2013),
musambê,[mu?s?b? e],Substantivo,Forro (Santome),Peixesalgado. gêmyêgê.,,,Araujo & Hagemeijer (2013),
rattensis. myôlô,[mjo?lo],Substantivo,Forro (Santome),Cabeça. 2.Cérebro.3.Mioloda,,,Araujo & Hagemeijer (2013),
musanda,[mus???da],Substantivo,Forro (Santome),Musanda.Ficusannobonen- palmeira. 4.Miolodepão. 5.Miolos.,,,Araujo & Hagemeijer (2013),
sis. myôtô-kadela,[?mjotoka?d?la],Substantivo,Forro (Santome),Ânus.,,,Araujo & Hagemeijer (2013),
na,[?na],Negação,Forro (Santome),Não. Partículadenegaçãopré-verbal ndufa[ndu?fa](v.)Bater.,Não,Partículadenegaçãopré-verbal ndufa[ndu?fa](v.,Araujo & Hagemeijer (2013),
correlativadefa.Nnatêminafa.Nãotenhofilhos. nduka,[ndu?ka],Verbo,Forro (Santome),Educar.,,,Araujo & Hagemeijer (2013),
nadaxi,[?nada?i],Pronome indefinido,Forro (Santome),Nada.Nnaflanadaxifa.Eu ndukadu[ndu?kadu](adj.)Educado.,,,Araujo & Hagemeijer (2013),
nãodissenada. ndukason,[nduka?sõ],Substantivo,Forro (Santome),Educação.,,,Araujo & Hagemeijer (2013),
nai,[na?i],Advérbio,Forro (Santome),Aqui. 2.Cá. ndumba[?nd?ba](adj.)Grande.,,,Araujo & Hagemeijer (2013),
nanaji,[na?na?i],Substantivo,Forro (Santome),Ananás. 2.Ananaseiro.Ana- osqueestãovivosequeestãomortos. 2.Inclusive.Yô-,,,Araujo & Hagemeijer (2013),
nandji,[?n?d? ?i],Pronome interrogativo,Forro (Santome),"Onde.Nandjikunansêsanê? siveministros,forammortas.3.Nem.Nêzujinêavo-",,,Araujo & Hagemeijer (2013),
nankô,[n???ko],Adjetivo,Forro (Santome),Encardido. advogadoconseguiramsolucionaraquestão.,,,Araujo & Hagemeijer (2013),
nansê,[n???se],Substantivo,Forro (Santome),Destino. 2.Nascimento. nêblina[ne?blina](n.)1.Neblina. 2.Nuvem.,,,Araujo & Hagemeijer (2013),
nansolo,[n???s?l?],Substantivo,Forro (Santome),Lençol.Cf.lansolo. neglu[?n?glu](n.)Negro.,,,Araujo & Hagemeijer (2013),
nanson,[n???sõ],Substantivo,Forro (Santome),Casta. 2.Enorme. 3.Espécie. nen[?n?](pron.)Cf.inen.,,,Araujo & Hagemeijer (2013),
nanta,[?n?t?a],Negação,Forro (Santome),Jamais. 2.Nunca. 3.Nunca nengla[n??gla](v.)Enfeitar.,,,Araujo & Hagemeijer (2013),
mais.Cf.nantan. neni,[?n?n?i],Substantivo,Forro (Santome),Anel.,,,Araujo & Hagemeijer (2013),
voltaafazer-temal. nentxi,[?n?t?i],Substantivo,Forro (Santome),Gente.Cf.zentxi.,,,Araujo & Hagemeijer (2013),
nanve,[n???v?],Substantivo,Forro (Santome),Navalha. netu-ome[?n?tu??m?](n.)Neto.,,,Araujo & Hagemeijer (2013),
nanxidu,[n????idu],Adjetivo,Forro (Santome),Nascido. netu-mwala[?n?tu?mwala](n.)Neta.,,,Araujo & Hagemeijer (2013),
nasika,[na?sika],Substantivo,Forro (Santome),Nasika.Amaurocichlabocagii. nê?a[?ne??a](quant.)Nenhum.Nnaxibêbênê?a,,,Araujo & Hagemeijer (2013),
nata,[na?ta],Substantivo,Forro (Santome),Natal. tampakaxalambaplamansefa.Aindanãobebine-,,,Araujo & Hagemeijer (2013),
natula,[na?tula],Substantivo,Forro (Santome),Época. nhumatampadecacharambaestamanhã.,,,Araujo & Hagemeijer (2013),
nave,[na?v?],Substantivo,Forro (Santome),Navalha.Cf.nanve. nê?angê[?ne??a??ge](indef.)Ninguém.Nnamêsê,,,Araujo & Hagemeijer (2013),
navega,[nav??ga],Verbo,Forro (Santome),Navegar. nê?angêfa.Nãoqueroninguém.,,,Araujo & Hagemeijer (2013),
navegadô,[nav?ga?do],Substantivo,Forro (Santome),Navegador. neva[?n?va](n.)Noiva.,,,Araujo & Hagemeijer (2013),
navin,[na?v?],Substantivo,Forro (Santome),Almapenada. 2.Navio. neva[n??va](v.)Alinhavar.,,,Araujo & Hagemeijer (2013),
nawa,[?nawa],Substantivo,Forro (Santome),Anágua. 2.Saiote. nêxpla[?ne?pla](n.)1.Nêspera. 2.Nespereira.Erio-,,,Araujo & Hagemeijer (2013),
naxi,[?na?i],Negação,Forro (Santome),Aindanão. Nnaxitêmwalafa. botryajaponica.,Aindanão,Nnaxitêmwalafa.,Araujo & Hagemeijer (2013),
ndakla,[nda?kla],Substantivo,Forro (Santome),Lacrau. nflimêlu[nfli?melu](n.)Enfermeiro.,,,Araujo & Hagemeijer (2013),
ndala,[?ndala],Substantivo,Forro (Santome),Ramosdecoqueirooupalmeira. ngama[?ga?ma](n.)Gamela.,,,Araujo & Hagemeijer (2013),
ndependenxa,[nd?p???d???a],Substantivo,Forro (Santome),Independência. Cf. ngamala[?ga?mala](n.)Gamela.Cf.ngama.,Independência,Cf.,Araujo & Hagemeijer (2013),
ndêwa,[?ndewa],Substantivo,Forro (Santome),Vagina. ngana[??gana](n.)1.Gana. 2.Ímpeto.,,,Araujo & Hagemeijer (2013),
ndika,[ndi?ka],Verbo,Forro (Santome),Apontar. 2.Indicar. ngana[?ga?na](v.)Enganar(-se).,,,Araujo & Hagemeijer (2013),
ndombo,[nd???b?],Substantivo,Forro (Santome),Folhastenrasdapalmeira. nganadu[?ga?nadu](adj.)Enganado.,,,Araujo & Hagemeijer (2013),
ngandu,[?g???du],Substantivo,Forro (Santome),Tubarão. ngleva[??gl?va](adj.)Gémeo.Cf.ingleva.,,,Araujo & Hagemeijer (2013),
ngandu-futu,[?g???dufu?tu],Substantivo,Forro (Santome),Iguariapreparadaà nglimi[?gli?mi](v.)1.Atiçarofogo. 2.Encolerizar(-,,,Araujo & Hagemeijer (2013),
ngandu-kwa-kota,[?g???du?kwak??ta],Substantivo,Forro (Santome),Tubarão- nglon[??gl?]? (n.)Grão.,,,Araujo & Hagemeijer (2013),
serra. nglon-floli,[??gl???fl?li],Substantivo,Forro (Santome),Flor-de-coral. Jatropha,,,Araujo & Hagemeijer (2013),
ngandu-toto,[?g???du?t?t?],Substantivo,Forro (Santome),Tubarão-martelo. multifida.,,,Araujo & Hagemeijer (2013),
nganha,[?g????a],Substantivo,Forro (Santome),Galinha. nglon-kongô-mwala[??gl???kõgo?mwala](n.) Flor-,,,Araujo & Hagemeijer (2013),
nganha-balele,[?ga??aba?l?l?],Substantivo,Forro (Santome),Galinha-garnisé. curcas.,,,Araujo & Hagemeijer (2013),
nganhadu,[?g????adu],Adjetivo,Forro (Santome),Chegado. nglopi[??gl?pi](n.)1.Gole. 2.Trago.,,,Araujo & Hagemeijer (2013),
nganha-mosa,[?ga?????m?sa],Substantivo,Forro (Santome),Franga. ngloya[??gl?ja](n.)Glória.,,,Araujo & Hagemeijer (2013),
nganha-ngene,[?g?????? ?g??n?],Substantivo,Forro (Santome),Galinha ngola[?g??la](n.)Angolar.GrupoétnicoAngolarde,,,Araujo & Hagemeijer (2013),
Ngola,[??g?la],Topônimo,Forro (Santome),Angola.,,,Araujo & Hagemeijer (2013),
nganhu,[??g??? u],Substantivo,Forro (Santome),Ganho. ngoma[?g??ma](n.)1.Ngoma.Ritualnoqualospar-,,,Araujo & Hagemeijer (2013),
ngê-gôdô,[??ge?godo],Adjetivo,Forro (Santome),Influente. 2.Podero- ngomitu[??g?mitu](n.)Vômito.,,,Araujo & Hagemeijer (2013),
ngê-lwa,[??ge?lwa],Substantivo,Forro (Santome),Estranho. ngoxta[?g???ta](v.)1.Adorar. 2.Amar.3.Apreciar.,,,Araujo & Hagemeijer (2013),
ngembu,[?g??bu],Substantivo,Forro (Santome),Morcego.Myonycterisbrachy- 4.Gostar.,,,Araujo & Hagemeijer (2013),
cephala. ngugu,[??gugu],Substantivo,Forro (Santome),Perdiz. 2.Promíscuo.,,,Araujo & Hagemeijer (2013),
ngen,[??g?],Substantivo,Forro (Santome),Galho. 2.Penca. nguli[??guli](n.) 1.Espíritosmaus. 2.Insaciável.,,,Araujo & Hagemeijer (2013),
ngene,[?g??n?],Substantivo,Forro (Santome),Ngene. Instrumentomusicalde 3.Ogro. 4.Sôfrego.,Ngene,Instrumentomusicalde 3.,Araujo & Hagemeijer (2013),
cordas. nguli,[?gu?li],Verbo,Forro (Santome),Engolir.,,,Araujo & Hagemeijer (2013),
ngenengene,[?g??n??g??n?],Ideofone,Forro (Santome),Cf. wêngenenge- nguliwê[?gu?li?we](v.)Morrer.,,,Araujo & Hagemeijer (2013),
ne. ngumba,[?g??ba],Substantivo,Forro (Santome),Amendoim. Arachishypoga-,,,Araujo & Hagemeijer (2013),
ngenge,[?g???g?],Substantivo,Forro (Santome),Copofeitocomoinvólucroda ea.,,,Araujo & Hagemeijer (2013),
ngê-tamen,[??ge?tam?],Substantivo,Forro (Santome),Adulto. 2.Idoso. ngumita[?gumi?ta](n.)Vômito.,,,Araujo & Hagemeijer (2013),
nginda,[?g??da],Verbo,Forro (Santome),Atar. 2.Guindar. ngunda[??g?da](n.)1.Engodo. 2.Isca.,,,Araujo & Hagemeijer (2013),
nginhon,[?g???õ],Substantivo,Forro (Santome),Agrião. Cf. fya-nginhon. ngunda [?g??da] (v.),Agrião,Cf.,Araujo & Hagemeijer (2013),
nginhon-matu,[?g???õ?matu],Substantivo,Forro (Santome),Agrião-do-mato. 6.Engodar. 7.Mimar.,,,Araujo & Hagemeijer (2013),
Peperomiapellucida. ngungunu,[?g?gu?nu],Verbo,Forro (Santome),Murmurar. 2.Resmun-,,,Araujo & Hagemeijer (2013),
ngipa,[ngi?pa],Substantivo,Forro (Santome),"Ngipa.Instrumentomusical,típico gar.",,,Araujo & Hagemeijer (2013),
dosAngolares. ngunhadu,[?gu??adu],Adjetivo,Forro (Santome),Encolhido.,,,Araujo & Hagemeijer (2013),
nglandji,[??gl?d? ?i],Adjetivo,Forro (Santome),Grande. ngunu[?gu?nu](n.)1.Facho. 2.Lampião.3.Tocha.,,,Araujo & Hagemeijer (2013),
nglatu,[??glatu],Adjetivo,Forro (Santome),Ingrato. ngwalia[?gwa?lia](n.)Iguaria.,,,Araujo & Hagemeijer (2013),
nglêji,[??gle?i],Adjetivo,Forro (Santome),Inglês. ngwangwangwan[?gw?g? w???gw?]? (id.) Cf. solomê-,,,Araujo & Hagemeijer (2013),
nglêji-pletu,[??gle?i?pl?tu],Substantivo,Forro (Santome),Inglês-negro. Nome ngwenta[?gw??ta](v.)1.Aguentar. 2.Resistir.,Inglês-negro,Nome ngwenta[?gw??ta](v.,Araujo & Hagemeijer (2013),
dadoaafricanosdelínguainglesanoperíodocoloni- ngweva,[??gw?va],Substantivo,Forro (Santome),Goiaba. 2.Goiabeira.Psi-,,,Araujo & Hagemeijer (2013),
nglentu,[??gl?tu],Substantivo,Forro (Santome),Interior. 2.Quarto. ngyon[??gj?]? (onom.)Somdeengoliralgo.,,,Araujo & Hagemeijer (2013),
nglentu-ke,[??gl?tu?k?],Substantivo,Forro (Santome),Portasadentro.Numigu nhami[???m? i](n.)Inhame.,,,Araujo & Hagemeijer (2013),
nglentu-ke.Inimigoportasadentro. nhami-bini,[???m? ibi?ni],Substantivo,Forro (Santome),Inhame-bini.,,,Araujo & Hagemeijer (2013),
nglexti,[??gl??ti],Adjetivo,Forro (Santome),Áspero. 2.Picante. 3.Tem- nhami-blanku [???m? i ?bl?k? u] (n.) Inhame-branco.,,,Araujo & Hagemeijer (2013),
nhami-gundu,[???m? ig??du],Substantivo,Forro (Santome),Inhame-gundu.Disco- non[?nõ](pron.) 1.-nos. Primeirapessoadoplural,,,Araujo & Hagemeijer (2013),
nhami-gundu-sangi,[???m? ig??du?s?g? i],Substantivo,Forro (Santome),Inhame- 2.Nós.,,,Araujo & Hagemeijer (2013),
gundu-sangi. non,[?nõ],Pronome possessivo,Forro (Santome),Nossa. 2.Nossas. 3.Nosso.,,,Araujo & Hagemeijer (2013),
nhami-klobo,[???m? i?kl?b?],Substantivo,Forro (Santome),Inhame-klobo. 4.Nossos.,,,Araujo & Hagemeijer (2013),
nhami-kwini,[???m? i?kwini],Substantivo,Forro (Santome),Inhame-selvagem. nona[?n?na](n.)1.Anona.Anonasquamosa. 2.Pi-,,,Araujo & Hagemeijer (2013),
nhami-ngêlêwa,[??ami ?gele?wa],Substantivo,Forro (Santome),Inhame- nona-konxa[?n?na?k???a](n.)Araticum-da-praia.An-,,,Araujo & Hagemeijer (2013),
nhami-ofo,[??ami??f?],Substantivo,Forro (Santome),Inhame-selvagem.Diosco- nondji[?nõd?i](int.)Onde.Cf.nandji.,,,Araujo & Hagemeijer (2013),
reabulbifera. nono,[n??n?],Substantivo,Forro (Santome),Nono.Canthiumsubcordatum.,,,Araujo & Hagemeijer (2013),
nhami-otoni-liba-kafe,[??ami ??t?ni ?liba ka?f?],Substantivo,Forro (Santome),nono[n??n?](v.)Coçar.,,,Araujo & Hagemeijer (2013),
Inhame-otoni-liba-kafe. nonu,[?n?nu],Numeral,Forro (Santome),Nono.,,,Araujo & Hagemeijer (2013),
nhami-sangi,[???m? i?s?g? i],Substantivo,Forro (Santome),Inhame-sangi. nôô[no?o](adv.)Não.,,,Araujo & Hagemeijer (2013),
nhami-son-longô,[???m? i?sõ?lõgo],Substantivo,Forro (Santome),Inhame-son- Nosa-Xola[?n?sa???la](n.)NossaSenhora.,,,Araujo & Hagemeijer (2013),
l n o h n a g m ô. i-zambluku,[???m? i z???bluku],Substantivo,Forro (Santome),Inhame- n n ô ô s s e e n n t t x x i i [ [ n n o o ? ? s s ? ? t t ? ? i i ] ] ( ( a n d .) j.) In I o n c o e c n e t n e t . e.,,,Araujo & Hagemeijer (2013),
nôtxi,[?not?i],Substantivo,Forro (Santome),Noite.,,,Araujo & Hagemeijer (2013),
nhanga,[????ga],Verbo,Forro (Santome),Desarticular. notxi[?n?t?i](top.)Portugal.,,,Araujo & Hagemeijer (2013),
rattiafraxinia. nove,[?n?v?],Numeral,Forro (Santome),Nove.,,,Araujo & Hagemeijer (2013),
nhanhadu,[?a??adu],Adjetivo,Forro (Santome),Bêbado. nove-dexi[n?v??d??i](num.)Noventa.,,,Araujo & Hagemeijer (2013),
nhanhanha,[?a?a??a],Ideofone,Forro (Santome),Cf.filidunhanhanha. novemblu[n??v?blu](n.)Novembro.,,,Araujo & Hagemeijer (2013),
nhe,[???],Verbo,Forro (Santome),Calcar. 2.Comprimir. 3.Esmagar. novena[n??v?na](n.)Novena.,,,Araujo & Hagemeijer (2013),
nhendlu,[???dlu],Substantivo,Forro (Santome),Morcego.Cf.ngembu. novesentu[n?v??s?t?u](num.)Novecentos.,,,Araujo & Hagemeijer (2013),
nhepê,[????pe],Expressão,Forro (Santome),Assinalar. 2.Calcar. nôvi[?novi](n.)Nuvem.,,,Araujo & Hagemeijer (2013),
nho,[???],Verbo,Forro (Santome),Ausentar(-se). 2.Faltar.Djêlunho. novu[?n?vu](adj.)1.Jovem. 2.Novo. 3.Recente.,,,Araujo & Hagemeijer (2013),
ningê,[n??ge],Substantivo,Forro (Santome),Pessoa.Cf.ngê. ntêlu[?ntelu](adj.)Inteiro.,,,Araujo & Hagemeijer (2013),
njizu,[?n?izu],Substantivo,Forro (Santome),Jejum. ntlega[ntl??ga](v.)Entregar.Cf.tlega.,,,Araujo & Hagemeijer (2013),
njozu,[?n??zu],Adjetivo,Forro (Santome),Curioso. 2.Habilidoso. numeru[?num?ru](n.)Número.,,,Araujo & Hagemeijer (2013),
nkome,[?k??m?],Substantivo,Forro (Santome),Soco. numiga[nu?miga](n.)Inimiga.,,,Araujo & Hagemeijer (2013),
nkoni,[??k?ni],Substantivo,Forro (Santome),Chifre. 2.Saliência. nutixa[nu?ti?a](n.)Notícia.,,,Araujo & Hagemeijer (2013),
nkon-kadela,[??kõka?d?la],Substantivo,Forro (Santome),Ancas. nutuxa[nu?tu?a](n.)Notícia.Cf.nutixa.,,,Araujo & Hagemeijer (2013),
noda,[?n?da],Substantivo,Forro (Santome),Nódoa. nventa[nv??ta](v.)Inventar.,,,Araujo & Hagemeijer (2013),
nogoxo,[n??g???],Substantivo,Forro (Santome),Negócio. nwa[?nwa](id.)Cf.betunwa.,,,Araujo & Hagemeijer (2013),
noja,[n???a],Verbo,Forro (Santome),Enojar. nwa[?nwa](n.)Lua.,,,Araujo & Hagemeijer (2013),
nôjô,[?no?o],Substantivo,Forro (Santome),Nojo. nyuku[?njuku](adv.)1.Absolutamentenada. 2.Na-,,,Araujo & Hagemeijer (2013),
nomi,[?n?mi],Substantivo,Forro (Santome),Nome. da.,,,Araujo & Hagemeijer (2013),
nomi-familya,[?n?mifa?milja],Substantivo,Forro (Santome),Apelido. 2.No- nzali[nza?li](n.)1.Larva. 2.Verme.,,,Araujo & Hagemeijer (2013),
nomi-ke,[?n?mi?k?],Substantivo,Forro (Santome),Alcunha. nzuku[?nzuku](n.)1.Excrementos. 2.Fezes.,,,Araujo & Hagemeijer (2013),
ô,[?o],Conjunção,Forro (Santome),Ou. olha-lizu[???a?lizu](adj.) 1.Obstinado. 2.Teimo-,,,Araujo & Hagemeijer (2013),
Estouairparacasa. olha-lizu,[???a?lizu],Substantivo,Forro (Santome),Obstinação. 2.Teimosia.,,,Araujo & Hagemeijer (2013),
oali,[??ali],Substantivo,Forro (Santome),Ar. 2.Atmosfera. 3.Firmamento. ôlô[?olo](n.)1.Ouro. 2.Ouros.Umdosnaipesdo,,,Araujo & Hagemeijer (2013),
oba,[??ba],Substantivo,Forro (Santome),Cacau. 2.Dinheiro. 3.Obá.Mam- olota[??l?ta](n.)Horta.,,,Araujo & Hagemeijer (2013),
meaafricana. olufu,[??lufu],Substantivo,Forro (Santome),Órfão.,,,Araujo & Hagemeijer (2013),
ôbata,[oba?ta],Substantivo,Forro (Santome),Ôbata.Ficuschlamydocarpa. olyo[??lj?](n.)Óleo.,,,Araujo & Hagemeijer (2013),
obla,[??bla],Substantivo,Forro (Santome),Obra. ôlyô[o?ljo](n.)1.Águaparadacobertadelimo. 2.La-,,,Araujo & Hagemeijer (2013),
ôbliga,[obli?ga],Verbo,Forro (Santome),Obrigar. omali[??mali](n.)Mar.,,,Araujo & Hagemeijer (2013),
ôbligadu,[obli?gadu],Adjetivo,Forro (Santome),Obrigado. ome[??m?](n.)1.Homem. 2.Macho.,,,Araujo & Hagemeijer (2013),
ôbligason,[obliga?sõ],Substantivo,Forro (Santome),Dever. 2.Obrigação. ômê[o?me](n.)Meio.,,,Araujo & Hagemeijer (2013),
ôbô,[o?bo],Substantivo,Forro (Santome),Mato. 2.Floresta. ômê[o?me](prep.n.)Nomeiode.,,,Araujo & Hagemeijer (2013),
ôbôjiji,[o?bo?i??i],Expressão,Forro (Santome),Florestadensa. ome-d’?a-oso[??m??d?a??s?](n.) Homem-de-um-,,,Araujo & Hagemeijer (2013),
odji,[??d?i],Substantivo,Forro (Santome),Direito. 2.Direitos. 3.Ordem. osso.Culcasiascandens.,,,Araujo & Hagemeijer (2013),
ofixali,[?fi??ali],Substantivo,Forro (Santome),Oficial. onoxi[??n??i](n.)Conchatradicionalfeitacomcasca,,,Araujo & Hagemeijer (2013),
ojo,[????],Substantivo,Forro (Santome),Ódio.Cf.odjo.,,,Araujo & Hagemeijer (2013),
oka,[??ka],Substantivo,Forro (Santome),Mafumeira. Ceiba pentandra. onte[???t?](adv.)Ontem.Cf.onten.,Mafumeira,Ceiba pentandra.,Araujo & Hagemeijer (2013),
okala,[??kala],Substantivo,Forro (Santome),Cicatriz. 2.Nódoa. onze[??z??](num.)Onze.,,,Araujo & Hagemeijer (2013),
ôkê,[?oke],Substantivo,Forro (Santome),Colina. 2.Ladeira.3.Monte. 4.Su- ope[??p?](n.)1.Pé. 2.Perna. 3.Juntode. 4.Perto,,,Araujo & Hagemeijer (2013),
oki,[??ki],Substantivo,Forro (Santome),Gato-do-mato. ope-kabla[??p??kabla](n.)Pé-de-cabra.,,,Araujo & Hagemeijer (2013),
okloklo,[?kl??kl?],Substantivo,Forro (Santome),Cicatriz. ope-po[??p??p?](n.)1.Perna-de-pau.Personagemdo,,,Araujo & Hagemeijer (2013),
oklu,[??klu],Substantivo,Forro (Santome),Óculos. dansu-kongôqueexecutaacrobaciassobrepernas-de-,,,Araujo & Hagemeijer (2013),
ôkô,[?oko],Substantivo,Forro (Santome),Buraco. 2.Orifício. pau. 2.Tronco.,,,Araujo & Hagemeijer (2013),
ôkô-budu,[?oko?budu],Substantivo,Forro (Santome),Caverna. opo[??p?](n.)1.Pó. 2.Poeira.3.Resíduosempó.,,,Araujo & Hagemeijer (2013),
okoli,[??k?li],Substantivo,Forro (Santome),Larvadebesouro. ôsa[?osa](n.)Vooalto.,,,Araujo & Hagemeijer (2013),
ôkô-lixi,[?oko?li?i],Substantivo,Forro (Santome),Narinas. ôsa[o?sa](v.)Voarmuitoalto.,,,Araujo & Hagemeijer (2013),
ôkôsô,[?okoso],Substantivo,Forro (Santome),Albino. 2.Espíritodeáguado- osami[??sami](n.)Osami.Afromonumdanielli.,,,Araujo & Hagemeijer (2013),
ce. osana,[??s?n? a],Substantivo,Forro (Santome),Hosana.,,,Araujo & Hagemeijer (2013),
ola,[??la],Conjunção,Forro (Santome),Quando. ose[??s?](n.)Céu.,,,Araujo & Hagemeijer (2013),
ôlêdê,[ole?de],Substantivo,Forro (Santome),Atum.Thunnusalbacares. ôsôbô[oso?bo](n.)Cuco-esmeraldino.Chrysococcyx,,,Araujo & Hagemeijer (2013),
